id;name;type;address;latitude;longitude;number;email
1;Cotton needs-based Tools;BUSINESS;Intelligent strategize;Chief wireless;access;open-source robust;Leonor_Koepp@hotmail.com
2;1080p;OTHER;generate;extend Guarani;Cambridgeshire;Mountain reintermediate;Effie_Runolfsdottir13@gmail.com
3;payment Concrete;BUSINESS;adapter Analyst payment;innovate extranet Total;wireless Kwacha primary;Togo;Dock67@yahoo.com
4;Handcrafted Soft Computer Pakistan Rupee;BUSINESS;Forward;Practical Concrete Computer;interface Arkansas payment;Avon deposit redundant;Kurtis69@gmail.com
5;Officer Uganda Shilling;OTHER;American Samoa application;Representative Chief Alaska;Afghani;Wooden hacking communities;Hailee32@yahoo.com
6;leverage;OTHER;calculate invoice Cross-platform;SSL Refined Wooden Table;synthesize;plum;Adonis_Hirthe@yahoo.com
7;Ohio;OTHER;program Officer Granite;Sausages Outdoors;tertiary United States of America;connecting salmon Berkshire;Broderick54@gmail.com
8;multi-state;OTHER;Keyboard orchid Sausages;Personal Loan Account;portals Soap Bike;3rd generation wireless;Antonina_Streich@yahoo.com
9;input Consultant compress;HOME;haptic local area network;JSON sky blue;wireless Lead;Assistant service-desk Money Market Account;Kennith.Schmeler8@yahoo.com
10;circuit incubate Valley;OTHER;service-desk Handmade Metal Hat Right-sized;red deliverables;Senior;granular;Alberta_Rogahn@gmail.com
